Scientific Name,AGCP,AW,CB,EMP,GP,HI,MW,NCNE,WMVC,AK,Common Name,Id,Symbol,RankId,AcceptedId,HasSynonyms,HasSubordinateTaxa,HasWildlife,HasWetlandData,HasImages,HasRelatedLinks,HasLegalStatuses,HasNoxiousStatuses,HasDocumentation,HasDistributionData,NumImages,ProfileImageFilename,ImageId,HasInvasiveStatuses,HasCharacteristics,PlantLocationId,HasEthnobotany,HasPollinator,ScientificSort,Active Growth Period,Coppice Potential,Fall Conspicuous,Flower Color,Flower Conspicuous,Foliage Color,Foliage Porosity Summer,Foliage Porosity Winter,Foliage Texture,Fruit/Seed Color,Fruit/Seed Conspicuous,Growth Form,Growth Rate,"Height at 20 Years, Maximum (feet)","Height, Mature (feet)",Known Allelopath,Leaf Retention,Lifespan,Low Growing Grass,Resprout Ability,Shape and Orientation,Toxicity,Adapted to Coarse Textured Soils,Adapted to Fine Textured Soils,Adapted to Medium Textured Soils,Anaerobic Tolerance,Cold Stratification Required,Drought Tolerance,Fertility Requirement,"Frost Free Days, Minimum",Hedge Tolerance,Moisture Use,"pH, Maximum","pH, Minimum","Precipitation, Maximum","Precipitation, Minimum","Root Depth, Minimum (inches)",Salinity Tolerance,Shade Tolerance,"Temperature, Minimum (°F)",Bloom Period,Commercial Availability,Fruit/Seed Abundance,Fruit/Seed Period Begin,Fruit/Seed Period End,Fruit/Seed Persistence,Propagated by Bare Root,Propagated by Bulb,Propagated by Container,Propagated by Corm,Propagated by Cuttings,Propagated by Seed,Propagated by Sod,Propagated by Sprigs,Propagated by Tubers,Seed Spread Rate,Seedling Vigor,Vegetative Spread Rate,Nursery Stock Product
Lycium torreyi,,FAC,,,FAC,,,,FACU,,Squawthorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycopodiella X copelandii,FACW,,,FACW,,,,FACW,,,_?_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycopodiella alopecuroides,OBL,,,FACW,OBL,,,FACW,,,Fox-Tail Club-Moss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycopodiella appressa,OBL,,,FACW,OBL,,FACW,FACW,,,Southern Appressed Club-Moss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycopodiella inundata,OBL,OBL,,OBL,,,OBL,OBL,OBL,OBL,Northern Bog Club-Moss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycopodiella margueritae,,,,FACW,,,FACW,FACW,,,Prostrate Club-Moss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycopodiella prostrata,OBL,,,OBL,OBL,,,,,,Feather-Stem Club-Moss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycopodiella subappressa,,,,,,,FACW,FACW,,,Northern Appressed Club-Moss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycopodium clavatum,FAC,FAC,FAC,FAC,,,FAC,FAC,FAC,FACU,Running Ground-Pine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycopodium lagopus,,FACU,,FACU,,,FAC,FACU,FACU,FACU,Single-Cone Ground-Pine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycopodium venustulum,,,,,,FACU,,,,,Hair-Tip Ground-Pine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycopus X sherardii,OBL,,,OBL,OBL,,OBL,OBL,,,_?_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycopus americanus,OBL,OBL,,OBL,OBL,,OBL,OBL,OBL,OBL,Cut-Leaf Water-Horehound,45838.0,LYAM,0.0,45838.0,False,False,False,False,False,False,False,False,False,False,6.0,lyam_002_tvp.jpg,0.0,False,False,0.0,False,False,Lycopus americanus Muhl. ex W.P.C. Barton,Summer and Fall,No,No,White,No,Green,Moderate,Porous,Coarse,Brown,No,Single Crown,Moderate,,1.8,No,No,Long,No,No,Erect,,No,Yes,Yes,High,No,Low,Medium,120.0,,High,7.8,5.2,60.0,12.0,10.0,Low,Tolerant,-38.0,Early Summer,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,No,Yes,Moderate,Medium,,No
Lycopus amplectens,OBL,,,OBL,,,OBL,OBL,,,Clasping Water-Horehound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycopus asper,,OBL,,,OBL,,OBL,OBL,OBL,OBL,Rough Water-Horehound,45846.0,LYAS,0.0,45846.0,False,False,False,False,False,False,False,False,False,False,4.0,lyas_002_tvp.jpg,0.0,False,False,0.0,False,False,Lycopus asper Greene,Summer and Fall,No,No,,No,Green,Moderate,Porous,Coarse,Brown,No,Single Crown,Moderate,,2.1,No,No,Moderate,No,No,Erect,,Yes,Yes,Yes,High,No,Low,Medium,120.0,,High,8.0,6.0,36.0,10.0,10.0,Low,Tolerant,-38.0,Mid Summer,No Known Source,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,No,Yes,Moderate,Medium,,No
Lycopus cokeri,OBL,,,OBL,,,,,,,Carolina Water-Horehound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycopus europaeus,OBL,,,OBL,,,OBL,OBL,,,Gypsywort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycopus rubellus,OBL,,,OBL,OBL,,OBL,OBL,OBL,,Taper-Leaf Water-Horehound,45856.0,LYRU,0.0,45856.0,False,False,False,False,False,False,False,False,False,False,4.0,lyru_002_tvp.jpg,0.0,False,False,0.0,False,False,Lycopus rubellus Moench,Summer and Fall,No,No,,No,Green,Moderate,Porous,Coarse,Brown,No,Single Crown,Moderate,,1.6,No,No,Moderate,No,No,Erect,,Yes,Yes,Yes,High,No,Low,Medium,165.0,,High,7.2,5.2,60.0,30.0,10.0,,Tolerant,-23.0,Mid Summer,No Known Source,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,No,Yes,Moderate,Medium,,No
Lycopus uniflorus,OBL,OBL,,OBL,OBL,,OBL,OBL,OBL,OBL,Northern Water-Horehound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycopus virginicus,OBL,,,OBL,OBL,,OBL,OBL,,,Virginia Water-Horehound,45866.0,LYVI4,0.0,45866.0,False,False,False,False,False,False,False,False,False,False,5.0,lyvi4_002_tvp.jpg,0.0,False,False,0.0,False,False,Lycopus virginicus L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lygodium auriculatum,,,,,,FAC,,,,,_?_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lygodium japonicum,FAC,,FACU,FAC,FACW,FACU,,FAC,,,Japanese Climbing Fern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lygodium microphyllum,FACW,,,,,UPL,,,,,Old World Climbing Fern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lygodium palmatum,FACW,,,FACW,,,FACW,FACW,,,American Climbing Fern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lyonia ferruginea,FACU,,,,,,,,,,Rusty Staggerbush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lyonia fruticosa,FACW,,,,,,,,,,Coastal-Plain Staggerbush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lyonia ligustrina,FACW,,,FACW,FACW,,FACW,FACW,,,Maleberry,65266.0,LYLI,0.0,65266.0,False,False,False,False,False,False,False,False,False,False,5.0,lyli_001_thp.jpg,0.0,False,False,0.0,False,False,Lyonia ligustrina (L.) DC.,,No,No,White,No,Green,Moderate,Porous,Coarse,,No,,,18.0,9.0,No,No,Short,No,No,,,No,Yes,Yes,High,No,High,Low,128.0,Low,,6.5,5.0,80.0,39.0,12.0,,Tolerant,-21.0,Spring,,,Spring,Winter,No,No,No,No,No,Yes,No,No,No,No,Moderate,Medium,,No
Lyonia lucida,FACW,,,FACW,,,,,,,Shinyleaf,65276.0,LYLU3,0.0,65276.0,False,False,False,False,False,False,False,False,False,False,14.0,lylu3_001_thp.jpg,0.0,False,False,0.0,False,False,Lyonia lucida (Lam.) K. Koch,Summer,No,No,Red,Yes,Green,Moderate,Moderate,Coarse,Brown,No,Single Stem,Moderate,,6.6,No,Yes,Long,No,No,Erect,,Yes,Yes,Yes,Medium,No,Low,Low,200.0,,Medium,6.0,3.5,60.0,40.0,20.0,,Tolerant,2.0,Spring,Routinely Available,High,Spring,Summer,No,Yes,No,Yes,No,No,Yes,No,No,No,Moderate,Medium,,No
Lyonia mariana,FAC,,,FAC,FAC,,,FAC,,,Piedmont Staggerbush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lysichiton americanus,,OBL,,,,,,,OBL,OBL,Yellow-Skunk-Cabbage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lysiloma watsonii,,FACU,,,,,,,,,Little-Leaf False Tamarind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lysimachia X producta,FAC,,,FAC,,,FAC,FAC,,,_?_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lysimachia arvensis,FACU,FAC,UPL,UPL,FACU,FACU,FACU,FACU,FAC,,Scarlet Yellow-Loosestrife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lysimachia asperulifolia,OBL,,,OBL,,,,,,,Rough-Leaf Yellow-Loosestrife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lysimachia ciliata,FACW,FACW,,FACW,FACW,,FACW,FACW,FACW,FACW,Fringed Yellow-Loosestrife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lysimachia daphnoides,,,,,,OBL,,,,,Lehua Makanoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lysimachia filifolia,,,,,,FAC,,,,,Narrow-Leaf Island-Loosestrife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lysimachia forbesii,,,,,,FACU,,,,,Castle Trail Island-Loosestrife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lysimachia fraseri,FAC,,,FAC,,,,,,,Fraser's Yellow-Loosestrife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lysimachia glutinosa,,,,,,FACU,,,,,Kokee Island-Loosestrife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lysimachia hillebrandii,,,,,,FAC,,,,,Puahekili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lysimachia hybrida,OBL,OBL,,OBL,OBL,,OBL,OBL,OBL,,Lowland Yellow-Loosestrife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lysimachia iniki,,,,,,FAC,,,,,Wailua River Island-Loosestrife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lysimachia lanceolata,FAC,,,FAC,FAC,,FAC,FAC,,,Lance-Leaf Yellow-Loosestrife,67200.0,LYLA,0.0,67200.0,False,False,False,False,False,False,False,False,False,False,3.0,lyla_001_thp.jpg,0.0,False,False,0.0,False,False,Lysimachia lanceolata Walter,Spring and Summer,No,No,Purple,Yes,Green,Moderate,Porous,Medium,Brown,Yes,Rhizomatous,Moderate,,2.5,No,No,Moderate,No,No,Erect,,Yes,Yes,Yes,Low,No,Medium,Medium,120.0,,Medium,7.0,5.0,55.0,32.0,10.0,,Tolerant,-23.0,Late Spring,No Known Source,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,Yes,No,Slow,Low,Moderate,No
Lysimachia loomisii,OBL,,,OBL,,,,,,,Loomis' Yellow-Loosestrife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lysimachia maritima,OBL,FACW,,FAC,OBL,,OBL,OBL,OBL,OBL,Sea-Milkwort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lysimachia mauritiana,,,,,,FAC,,,,,Spoon-Leaf Island-Loosestrife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lysimachia minima,FACW,FACW,,FACW,FACW,,FACW,FACU,FACW,,Chaffweed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lysimachia nummularia,FACW,FACW,,FACW,FACW,,FACW,FACW,FACW,,Creeping-Jenny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lysimachia ovoidea,,,,,,FACU,,,,,Wainiha Valley Island-Loosestrife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lysimachia pendens,,,,,,FACW,,,,,Broad-Leaf Island-Loosestrife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lysimachia pumila,FACW,,,,,,,,,,Florida Yellow-Loosestrife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lysimachia punctata,OBL,OBL,,OBL,,,OBL,OBL,OBL,OBL,Large Yellow-Loosestrife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lysimachia quadriflora,OBL,,,FACW,FACW,,OBL,OBL,,,Four-Flower Yellow-Loosestrife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lysimachia quadrifolia,FACU,,,FACU,,,FACU,FACU,,,Whorled Yellow-Loosestrife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lysimachia radicans,OBL,,,OBL,FACW,,OBL,,,,Trailing Yellow-Loosestrife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lysimachia remyi,,,,,,FACW,,,,,Rockface Island-Loosestrife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lysimachia terrestris,OBL,OBL,,OBL,OBL,,OBL,OBL,OBL,,Swampcandles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lysimachia thyrsiflora,OBL,OBL,,OBL,OBL,,OBL,OBL,OBL,OBL,Tufted Yellow-Loosestrife,67260.0,LYTH2,0.0,67260.0,False,False,False,False,False,False,False,False,False,False,2.0,lyth2_003_tvd.jpg,0.0,False,False,0.0,False,False,Lysimachia thyrsiflora L.,Spring and Summer,No,No,Yellow,Yes,Green,Moderate,Porous,Medium,Brown,No,Bunch,Moderate,,2.0,No,No,Moderate,No,No,Erect,,No,Yes,Yes,High,No,,Medium,120.0,,High,7.2,4.8,55.0,16.0,12.0,,Intermediate,-33.0,Mid Spring,No Known Source,Medium,Spring,Summer,No,No,No,No,No,No,Yes,No,Yes,No,Slow,Medium,Slow,No
Lysimachia venosa,,,,,,OBL,,,,,Veiny Island-Loosestrife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lysimachia vulgaris,FAC,FACW,,FAC,,,FACW,FACW,FACW,,Garden Yellow-Loosestrife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lythrum alatum,OBL,OBL,,FACW,OBL,,OBL,OBL,OBL,,Wing-Angle Loosestrife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lythrum californicum,OBL,OBL,,OBL,OBL,,OBL,,OBL,,California Loosestrife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lythrum curtissii,OBL,,,,,,,,,,Curtiss' Loosestrife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lythrum flagellare,OBL,,,,,,,,,,Florida Loosestrife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lythrum hyssopifolium,OBL,OBL,,OBL,,,OBL,OBL,OBL,,Hyssop Loosestrife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lythrum lineare,OBL,,,OBL,,,,OBL,,,Saltmarsh Loosestrife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lythrum maritimum,,,,,,FAC,,,,,Pukamole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lythrum ovalifolium,,,,,FACW,,,,,,Low Loosestrife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lythrum portula,,OBL,,,,,,OBL,OBL,,Spatula-Leaf Loosestrife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lythrum salicaria,OBL,OBL,,FACW,OBL,,OBL,OBL,OBL,OBL,Purple Loosestrife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lythrum tribracteatum,,OBL,,,,,,,OBL,,Three-Bract Loosestrife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macaranga mappa,,,,,,FAC,,,,,Pengua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macbridea alba,FACW,,,,,,,,,,White Birds-in-a-Nest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macbridea caroliniana,OBL,,,OBL,,,,,,,Carolina Birds-in-a-Nest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machaerina angustifolia,,,,,,FAC,,,,,Polynesian Twig-Rush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machaerina mariscoides,,,,,,FAC,,,,,Tropical Twig-Rush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machaerina restioides,,,OBL,,,,,,,,Forest Twig-Rush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machaerium lunatum,,,OBL,,,,,,,,Palo-de-Hoz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maclura pomifera,FACU,UPL,,UPL,FACU,,FACU,FACU,UPL,,Osage-Orange,70875.0,MAPO,0.0,70875.0,False,False,False,False,False,False,False,False,False,False,28.0,mapo_001_thp.jpg,0.0,False,False,0.0,False,False,Maclura pomifera (Raf.) C.K. Schneid.,Spring and Summer,No,No,Green,No,Green,Dense,Porous,Coarse,Orange,Yes,Single Stem,Moderate,20.0,35.0,No,No,Long,No,Yes,Erect,,Yes,No,Yes,,Yes,Medium,Medium,180.0,Medium,Medium,7.5,4.5,40.0,24.0,32.0,Low,Intolerant,-23.0,Late Spring,Routinely Available,Medium,Summer,Fall,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Medium,,Yes
Macranthera flammea,OBL,,,OBL,,,,,,,Flameflower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macroptilium atropurpureum,FACU,FACU,UPL,,FACU,FAC,,,,,Purple Bush-Bean,81107.0,MAAT80,0.0,81107.0,False,False,False,False,False,False,False,False,False,False,2.0,maat80_001_thp.jpg,0.0,False,False,0.0,False,False,Macroptilium atropurpureum (Moc. &amp; Sessé ex DC.) Urb.,Spring and Summer,No,Yes,Purple,Yes,Dark Green,Dense,Moderate,Fine,Brown,Yes,Thicket Forming,Rapid,,4.0,No,Yes,Short,No,No,Climbing,,Yes,Yes,Yes,Medium,No,Medium,Medium,365.0,Low,Low,8.0,5.0,111.0,15.0,24.0,Medium,Intermediate,23.0,Indeterminate,Routinely Available,Low,Year Round,Year Round,No,No,No,Yes,No,Yes,No,No,No,No,Moderate,High,Slow,Yes
Macroptilium lathyroides,FACU,,FACU,FACU,,FACU,,,,,Wild Bush-Bean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macrothelypteris torresiana,FACW,,FACU,FAC,,FACU,FACU,,,,False Maiden Fern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madia glomerata,FACU,FACU,,FACU,FACU,,FACU,FACU,FACU,UPL,Mountain Tarplant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnolia acuminata,FACU,,,FACU,FACU,,FACU,FACU,,,Cucumber-Tree,71553.0,MAAC,0.0,71553.0,False,False,False,False,False,False,False,False,False,False,7.0,maac_002_thp.jpg,0.0,False,False,0.0,False,False,Magnolia acuminata (L.) L.,Spring and Summer,No,Yes,Yellow,Yes,Green,Dense,Porous,Coarse,Red,Yes,Single Stem,Rapid,40.0,100.0,No,No,Moderate,No,Yes,Irregular,,Yes,No,Yes,Low,Yes,,High,160.0,,High,7.0,5.2,60.0,35.0,30.0,,Intermediate,-16.0,Mid Spring,Routinely Available,Medium,Spring,Summer,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,High,,Yes
Magnolia ashei,FACU,,,FACU,,,,,,,Ashe's Magnolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
